|------------------------------------------------------------------------------------------------------------------------------------
|                                COMPONENT  CENTER  REPORT
|------------------------------------------------------------------------------------------------------------------------------------
|             |                              |                              |                              |        MM         |   | 
|             |                              |                              |                              |-------------------|   | 
|   refdes    |         device type          |      value & tolerance       |        package symbol        |    x    |    y    |ang|m
|------------------------------------------------------------------------------------------------------------------------------------
R1361          R_R0603_H24_DISCRETE_200OHM    200Ohm                         R0603_H24                         42.799   268.478 180 N
R1362          R_R0402_DISCRETE_10MOHM        10MOhm                         R0402                             96.012   310.007 180 N
R1363          R_R0402_H16_DISCRETE_47KOHM    47KOhm                         R0402_H16                        125.778   314.939 90  N
R1364          R_R0402_H16_DISCRETE_47KOHM    47KOhm                         R0402_H16                        128.542   314.255 0   N
R1365          R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        121.539   314.706 90  N
R1366          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            234.989   416.733 90  N
R1367          R_R0402_DISCRETE_150OHM        150Ohm                         R0402                             13.401   322.784 270 N
R1368          R_R0402_DISCRETE_150OHM        150Ohm                         R0402                             13.429   320.494 270 N
R1369          R_R0402_DISCRETE_150OHM        150Ohm                         R0402                             13.442   318.174 270 N
R1370          R_R0402_DISCRETE_150OHM        150Ohm                         R0402                              8.890   322.707 90  N
R1371          R_R0402_DISCRETE_150OHM        150Ohm                         R0402                              9.906   320.421 90  N
R1372          R_R0402_DISCRETE_150OHM        150Ohm                         R0402                             10.033   318.008 90  N
R1373          R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                          5.320   336.911 90  N
R1374          R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                          9.598   343.380 270 N
R1375          R_R0402_DISCRETE_1KOHM         1KOHM                          R0402                              5.309   339.217 90  N
R1376          R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                         18.072   317.224 90  N
R1377          R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                          8.435   343.557 90  N
R1378          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             14.989   326.935 270 N
R1379          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             10.044   331.751 270 N
R1380          R_R0402_H16_DISCRETE_10OHM     10Ohm                          R0402_H16                          9.779   326.644 270 N
R1381          R_R0402_H16_DISCRETE_10OHM     10Ohm                          R0402_H16                          7.986   331.135 180 N
R1382          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             13.851   325.291 0   N
R1383          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             11.598   324.252 180 N
R1384          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             16.321   314.548 180 N
R1385          R_R0805_H24_DISCRETE_0OHM      0Ohm                           R0805_H24                         24.638   307.594 0   N
R1386          R_R0805_H24_DISCRETE_0OHM      0Ohm                           R0805_H24                         20.066   307.594 180 N
R1387          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                             27.975   307.621 90  N
R1388          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                             29.065   307.621 90  N
R1389          R_R0402_H16_DISCRETE_10OHM     10Ohm                          R0402_H16                        205.486   344.043 180 N
R1390          R_R0402_H16_DISCRETE_10OHM     10Ohm                          R0402_H16                        201.549   344.043 180 N
R1391          R_R0402_DISCRETE_150OHM        150Ohm                         R0402                            193.548   344.043 0   N
R1392          R_R0402_DISCRETE_150OHM        150Ohm                         R0402                            189.484   340.614 180 N
R1393          R_R0402_DISCRETE_150OHM        150Ohm                         R0402                            197.612   340.614 180 N
R1394          R_R0402_DISCRETE_150OHM        150Ohm                         R0402                            197.612   344.043 0   N
R1395          R_R0402_DISCRETE_150OHM        150Ohm                         R0402                            189.484   344.043 0   N
R1396          R_R0402_DISCRETE_150OHM        150Ohm                         R0402                            193.548   340.614 180 N
R1397          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                              6.164   334.691 180 N
R1398          R_R0402_H16_DISCRETE_10OHM     10Ohm                          R0402_H16                          5.283   341.528 270 N
R1399          R_R0402_H16_DISCRETE_10OHM     10Ohm                          R0402_H16                          6.731   342.900 0   N
R1400          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             19.613   327.716 0   N
R1401          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             17.272   327.660 0   N
R1402          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             16.332   318.008 0   N
R1403          R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                         13.733   332.437 0   N
R1404          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             20.047   317.234 90  N
R1405          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             15.232   335.333 90  N
R1406          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             10.389   337.693 0   N
R1407          R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                         10.023   329.463 270 N
R1408          R_R0805_H24_DISCRETE_0OHM      0Ohm                           R0805_H24                         26.797    99.619 180 N
R1409          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                             26.543   101.219 180 N
R1410          R_R0402_DISCRETE_15KOHM        15KOhm                         R0402                             26.543   102.362 0   N
R1414          R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        460.266   103.980 90  N
R1415          R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        460.011   311.577 0   N
R1416          R_R0402_H16_DISCRETE_0OHM      0Ohm                           R0402_H16                        461.553   106.389 270 N
R1417          R_R0402_H16_DISCRETE_0OHM      0Ohm                           R0402_H16                        462.501   313.130 0   N
R1418          R_R0402_H16_DISCRETE_0OHM      0Ohm                           R0402_H16                        466.751    83.079 270 N
R1419          R_R0402_H16_DISCRETE_0OHM      0Ohm                           R0402_H16                        470.053   190.837 270 N
R1420          R_R0603_H24_DISCRETE_4.7KOHM   4.7KOhm                        R0603_H24                        460.568   307.745 180 N
R1421          R_R0402_H16_DISCRETE_100OHM    100Ohm                         R0402_H16                        462.777   318.060 180 N
R1422          R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        465.418   111.948 90  N
